column_id,feature,duckdb_type,feature_type,m0_liu_adapted,m1_snapshot,m2_dynamic,m3_dynamic_en,m2_abg_extension
103,urine_interface_supported,INTEGER,continuous,0,0,0,0,0
104,vaso_interface_supported,INTEGER,continuous,0,0,0,0,0
105,bicarbonate_latest,DOUBLE,continuous,0,1,1,1,1
106,bicarbonate_latest_offset,DOUBLE,continuous,0,0,0,0,0
107,bicarbonate_median,DOUBLE,continuous,0,0,1,1,1
108,bicarbonate_min,DOUBLE,continuous,0,0,1,1,1
109,bicarbonate_max,DOUBLE,continuous,0,0,1,1,1
110,bicarbonate_delta,DOUBLE,continuous,0,0,1,1,1
111,bicarbonate_slope,DOUBLE,continuous,0,0,1,1,1
112,bun_latest,DOUBLE,continuous,0,1,1,1,1
113,bun_latest_offset,DOUBLE,continuous,0,0,0,0,0
114,bun_median,DOUBLE,continuous,0,0,1,1,1
115,bun_min,DOUBLE,continuous,0,0,1,1,1
116,bun_max,DOUBLE,continuous,0,0,1,1,1
117,bun_delta,DOUBLE,continuous,0,0,1,1,1
118,bun_slope,DOUBLE,continuous,0,0,1,1,1
119,chloride_latest,DOUBLE,continuous,0,1,1,1,1
120,chloride_latest_offset,DOUBLE,continuous,0,0,0,0,0
121,chloride_median,DOUBLE,continuous,0,0,1,1,1
122,chloride_min,DOUBLE,continuous,0,0,1,1,1
123,chloride_max,DOUBLE,continuous,0,0,1,1,1
124,chloride_delta,DOUBLE,continuous,0,0,1,1,1
125,chloride_slope,DOUBLE,continuous,0,0,1,1,1
126,creatinine_latest,DOUBLE,continuous,0,1,1,1,1
127,creatinine_latest_offset,DOUBLE,continuous,0,0,0,0,0
128,creatinine_median,DOUBLE,continuous,0,0,1,1,1
129,creatinine_min,DOUBLE,continuous,0,0,1,1,1
130,creatinine_max,DOUBLE,continuous,0,0,1,1,1
131,creatinine_delta,DOUBLE,continuous,0,0,1,1,1
132,creatinine_slope,DOUBLE,continuous,0,0,1,1,1
133,glucose_latest,DOUBLE,continuous,0,1,1,1,1
134,glucose_latest_offset,DOUBLE,continuous,0,0,0,0,0
135,glucose_median,DOUBLE,continuous,0,0,1,1,1
136,glucose_min,DOUBLE,continuous,0,0,1,1,1
137,glucose_max,DOUBLE,continuous,0,0,1,1,1
138,glucose_delta,DOUBLE,continuous,0,0,1,1,1
139,glucose_slope,DOUBLE,continuous,0,0,1,1,1
140,hemoglobin_latest,DOUBLE,continuous,0,1,1,1,1
141,hemoglobin_latest_offset,DOUBLE,continuous,0,0,0,0,0
142,hemoglobin_median,DOUBLE,continuous,0,0,1,1,1
143,hemoglobin_min,DOUBLE,continuous,0,0,1,1,1
144,hemoglobin_max,DOUBLE,continuous,0,0,1,1,1
145,hemoglobin_delta,DOUBLE,continuous,0,0,1,1,1
146,hemoglobin_slope,DOUBLE,continuous,0,0,1,1,1
147,lactate_latest,DOUBLE,continuous,0,0,0,0,1
148,lactate_latest_offset,DOUBLE,continuous,0,0,0,0,0
149,lactate_median,DOUBLE,continuous,0,0,0,0,1
150,lactate_min,DOUBLE,continuous,0,0,0,0,1
151,lactate_max,DOUBLE,continuous,0,0,0,0,1
152,lactate_delta,DOUBLE,continuous,0,0,0,0,1
153,lactate_slope,DOUBLE,continuous,0,0,0,0,1
154,paco2_latest,DOUBLE,continuous,0,0,0,0,1
155,paco2_latest_offset,DOUBLE,continuous,0,0,0,0,0
156,paco2_median,DOUBLE,continuous,0,0,0,0,1
157,paco2_min,DOUBLE,continuous,0,0,0,0,1
158,paco2_max,DOUBLE,continuous,0,0,0,0,1
159,paco2_delta,DOUBLE,continuous,0,0,0,0,1
160,paco2_slope,DOUBLE,continuous,0,0,0,0,1
161,pao2_latest,DOUBLE,continuous,0,0,0,0,1
162,pao2_latest_offset,DOUBLE,continuous,0,0,0,0,0
163,pao2_median,DOUBLE,continuous,0,0,0,0,1
164,pao2_min,DOUBLE,continuous,0,0,0,0,1
165,pao2_max,DOUBLE,continuous,0,0,0,0,1
166,pao2_delta,DOUBLE,continuous,0,0,0,0,1
167,pao2_slope,DOUBLE,continuous,0,0,0,0,1
168,ph_latest,DOUBLE,continuous,0,0,0,0,1
169,ph_latest_offset,DOUBLE,continuous,0,0,0,0,0
170,ph_median,DOUBLE,continuous,0,0,0,0,1
171,ph_min,DOUBLE,continuous,0,0,0,0,1
172,ph_max,DOUBLE,continuous,0,0,0,0,1
173,ph_delta,DOUBLE,continuous,0,0,0,0,1
174,ph_slope,DOUBLE,continuous,0,0,0,0,1
175,platelet_latest,DOUBLE,continuous,0,1,1,1,1
176,platelet_latest_offset,DOUBLE,continuous,0,0,0,0,0
177,platelet_median,DOUBLE,continuous,0,0,1,1,1
178,platelet_min,DOUBLE,continuous,0,0,1,1,1
179,platelet_max,DOUBLE,continuous,0,0,1,1,1
180,platelet_delta,DOUBLE,continuous,0,0,1,1,1
181,platelet_slope,DOUBLE,continuous,0,0,1,1,1
182,potassium_latest,DOUBLE,continuous,0,1,1,1,1
183,potassium_latest_offset,DOUBLE,continuous,0,0,0,0,0
184,potassium_median,DOUBLE,continuous,0,0,1,1,1
185,potassium_min,DOUBLE,continuous,0,0,1,1,1
186,potassium_max,DOUBLE,continuous,0,0,1,1,1
187,potassium_delta,DOUBLE,continuous,0,0,1,1,1
188,potassium_slope,DOUBLE,continuous,0,0,1,1,1
189,sodium_latest,DOUBLE,continuous,0,1,1,1,1
190,sodium_latest_offset,DOUBLE,continuous,0,0,0,0,0
191,sodium_median,DOUBLE,continuous,0,0,1,1,1
192,sodium_min,DOUBLE,continuous,0,0,1,1,1
193,sodium_max,DOUBLE,continuous,0,0,1,1,1
194,sodium_delta,DOUBLE,continuous,0,0,1,1,1
195,sodium_slope,DOUBLE,continuous,0,0,1,1,1
196,wbc_latest,DOUBLE,continuous,0,1,1,1,1
197,wbc_latest_offset,DOUBLE,continuous,0,0,0,0,0
198,wbc_median,DOUBLE,continuous,0,0,1,1,1
199,wbc_min,DOUBLE,continuous,0,0,1,1,1
200,wbc_max,DOUBLE,continuous,0,0,1,1,1
201,wbc_delta,DOUBLE,continuous,0,0,1,1,1
202,wbc_slope,DOUBLE,continuous,0,0,1,1,1
203,pao2_liu_24h_latest,DOUBLE,continuous,1,0,0,0,0
204,pao2_liu_24h_latest_offset_h,DOUBLE,continuous,0,0,0,0,0
